"animalID","season","date","area","observer","withpup","age","birth_date","precision"
16601,2004,2004-01-29,"BBN","P. Morris, R. Condit","2",4,2004-01-11,2
16601,2004,2004-02-01,"BBN","P. Morris, R. Condit","2",4,2004-01-11,2
16601,2004,2004-02-03,"BBN","P. Morris, R. Condit","2",4,2004-01-11,2
16601,2004,2004-02-04,"BBN","P. Morris, R. Condit","2",4,2004-01-11,2
13808,2004,2004-01-06,"APG","P. Morris, R. Condit","0",9,2004-01-13,2
13808,2004,2004-01-06,"APG","P. Morris, R. Condit","0",9,2004-01-13,2
13808,2004,2004-01-07,"BBS","P. Morris, R. Condit","0",9,2004-01-13,2
13808,2004,2004-01-08,"BBS","P. Morris, R. Condit","0",9,2004-01-13,2
13808,2004,2004-01-09,"BBS","P. Morris, R. Condit","0",9,2004-01-13,2
13808,2004,2004-01-10,"APG","P. Morris, R. Condit","0",9,2004-01-13,2
13808,2004,2004-01-11,"APG","P. Morris, R. Condit","0",9,2004-01-13,2
13808,2004,2004-01-13,"BMS","P. Morris, R. Condit","1",9,2004-01-13,2
13808,2004,2004-01-16,"BMS","P. Morris, R. Condit","1",9,2004-01-13,2
13808,2004,2004-01-17,"BMS","P. Morris, R. Condit","1",9,2004-01-13,2
13808,2004,2004-01-17,"BMS","P. Morris, R. Condit","1",9,2004-01-13,2
13808,2004,2004-01-18,"BMS","P. Morris, R. Condit","1",9,2004-01-13,2
13808,2004,2004-01-19,"BMS","P. Morris, R. Condit","1",9,2004-01-13,2
13808,2004,2004-01-21,"BMS","P. Morris, R. Condit","1",9,2004-01-13,2
13808,2004,2004-01-22,"BMS","P. Morris, R. Condit","1",9,2004-01-13,2
13808,2004,2004-01-23,"BMS","P. Morris, R. Condit","1",9,2004-01-13,2
13808,2004,2004-01-28,"BMS","P. Morris, R. Condit","1",9,2004-01-13,2
13808,2004,2004-01-29,"BMS","P. Morris, R. Condit","1",9,2004-01-13,2
13808,2004,2004-01-31,"BMS","P. Morris, R. Condit","1",9,2004-01-13,2
13808,2004,2004-02-01,"BMS","P. Morris, R. Condit","1",9,2004-01-13,2
