YY,MM,DD,hh,WD,WSPD GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS
1999,1,7,12,322,8.2 10.0,1.54,11.11,5.58,266,1021.2,10.9,11.3,999,99
1999,1,7,13,324,9.5 11.6,1.67,11.11,5.58,267,1021.1,10.6,11.3,999,99
1999,1,7,14,328,8.6 10.5,1.68,6.25,5.48,321,1021,10.5,11.3,999,99
1999,1,7,15,325,6.8  8.7,1.74,5.88,5.4,321,1021.3,10.7,11.3,999,99
1999,1,7,16,313,7.0  8.4,1.56,14.29,5.55,288,1021.8,10.6,11.3,999,99
1999,1,7,17,315,7.2  8.5,1.6,10,5.65,281,1022,10.6,11.3,999,99
1999,1,7,18,318,6.3  8.4,1.5,14.29,5.75,276,1022.6,10.9,11.3,999,99
1999,1,7,19,325,7.2  8.6,1.66,14.29,5.79,286,1022.2,10.6,11.3,999,99
1999,1,7,20,327,7.8 10.1,1.66,14.29,6.18,286,1022,10.6,11.4,999,99
1999,1,7,21,322,6.6  7.9,1.73,14.29,6.17,293,1021.1,10.6,11.4,999,99
1999,1,7,22,301,6.7  8.1,1.72,14.29,6.34,297,1021,10.5,11.4,999,99
1999,1,7,23,305,8.3  9.9,1.83,14.29,6.15,277,1020.5,10.3,11.4,999,99
1999,1,8,0,314,9.6 11.8,1.94,14.29,5.8,291,1020.4,10.2,11.4,999,99
1999,1,8,1,314,9.3 11.9,2,14.29,6,283,1020.4,10.2,11.4,999,99
1999,1,8,2,318,9.6 12.0,99,99,99,999,1020.4,10.2,11.4,999,99
1999,1,8,3,325,10.6 12.4,2.36,14.29,6.34,282,1020.5,10.2,11.5,999,99
1999,1,8,4,329,9.6 11.7,2.34,12.5,6.25,294,1020.7,10.2,11.4,999,99
1999,1,8,5,327,9.9 12.0,2.25,12.5,6.11,290,1020.9,10.2,11.4,999,99
1999,1,8,6,328,8.5 10.4,2.42,12.5,6.41,294,1021.3,10,11.4,999,99
1999,1,8,7,326,8.4 10.1,2.2,12.5,6.24,294,1021.3,10.2,11.4,999,99
1999,1,8,8,324,6.2  7.9,2.1,12.5,6.24,277,1021.8,10.2,11.4,999,99
1999,1,8,9,342,6.0  6.9,2.28,12.5,6.73,283,1021.8,10.2,11.4,999,99
1999,1,8,10,343,4.9  5.9,2.08,12.5,6.81,294,1021.9,10.2,11.4,999,99
1999,1,8,11,334,5.6  6.6,1.96,11.11,6.8,301,1022,10.2,11.4,999,99
1999,1,8,12,340,6.6  8.2,2.41,12.5,7.31,300,1021.5,10.3,11.4,999,99
1999,1,8,13,3,4.7  5.8,2.17,11.11,7.11,296,1021.3,9.8,11.4,999,99
1999,1,8,14,20,3.8  5.0,1.85,7.14,6.55,316,1021.3,9.8,11.4,999,99
1999,1,8,15,89,3.0  3.9,2.04,12.5,6.94,289,1022.3,9.4,11.3,999,99
1999,1,8,16,68,2.2  3.2,1.98,12.5,7.08,298,1023.1,9.5,11.4,999,99
1999,1,8,17,81,2.4  3.3,2.05,11.11,6.99,287,1023.4,9.9,11.4,999,99
1999,1,8,18,85,1.9  2.9,2.03,11.11,6.85,301,1023.8,10.2,11.4,999,99
1999,1,8,19,87,2.4  3.3,1.84,10,6.54,295,1024.2,10.2,11.4,999,99
1999,1,8,20,114,2.6  3.5,1.6,11.11,6.44,285,1023.6,10.3,11.5,999,99
1999,1,8,21,173,1.1  1.8,1.88,11.11,6.79,288,1023.3,10.9,11.7,999,99
1999,1,8,22,168,1.4  2.0,1.71,12.5,6.56,290,1023.2,11.4,11.7,999,99
1999,1,8,23,152,.6  1.3,1.58,12.5,6.47,284,1022.8,12.1,11.7,999,99
1999,1,9,0,154,1.3  1.7,1.58,11.11,6.88,287,1023.1,11.8,11.8,999,99
1999,1,9,1,199,.7  1.3,1.61,11.11,6.79,283,1023.4,11.8,11.8,999,99
1999,1,9,2,2,1.2  1.7,1.38,11.11,6.71,281,1023.5,11,11.7,999,99
1999,1,9,3,30,2.4  2.9,1.33,11.11,6.81,293,1023.5,11,11.7,999,99
1999,1,9,4,38,4.3  5.0,1.29,11.11,7,296,1022.9,11.8,11.4,999,99
1999,1,9,5,71,4.0  4.8,1.33,10,7.08,292,1022.7,11.4,11.4,999,99
1999,1,9,6,70,4.2  5.1,1.25,11.11,7.08,304,1022.6,11.1,11.4,999,99
1999,1,9,7,96,7.2  9.4,1.37,11.11,6.15,292,1022.6,12.2,11.4,999,99
1999,1,9,8,88,8.7 10.7,1.49,11.11,5.44,299,1022.4,13.1,11.4,999,99
1999,1,9,9,81,7.0  8.9,1.38,11.11,5.58,297,1022.6,11.7,11.4,999,99
1999,1,9,10,74,8.2 10.0,1.42,11.11,5.66,290,1022.7,11.6,11.4,999,99
1999,1,9,11,70,7.2  9.0,1.31,11.11,5.24,275,1023.6,11,11.4,999,99
1999,1,9,12,49,7.1  8.6,1.31,9.09,5.2,300,1023.6,10.6,11.4,999,99
1999,1,9,13,34,5.2  6.2,1.29,10,5.12,302,1023.6,11.1,11.4,999,99
1999,1,9,14,82,3.2  3.7,1.25,10,5.49,288,1023.6,11,11.4,999,99
1999,1,9,15,80,4.0  4.8,1.19,11.11,5.67,273,1024.1,11,11.3,999,99
1999,1,9,16,64,5.3  6.5,1.21,10,5.93,286,1024.1,10.5,11.3,999,99
1999,1,9,17,59,7.8  8.9,1.29,14.29,5.42,258,1024,10.8,11.3,999,99
1999,1,9,18,72,8.1  9.5,1.22,10,5.28,288,1024.1,10.6,11.4,999,99
1999,1,9,19,66,7.7  9.0,1.19,14.29,5.07,269,1024.2,11.3,11.4,999,99
1999,1,9,20,61,6.3  7.8,1.19,14.29,5.2,271,1023.6,11.7,11.4,999,99
1999,1,9,21,52,4.5  5.4,1.27,14.29,5.63,271,1022.7,12,11.4,999,99
1999,1,9,22,345,3.2  3.6,1.14,14.29,5.94,268,1022.3,12.1,11.4,999,99
1999,1,9,23,321,1.9  2.5,1.12,14.29,5.92,277,1022,12.1,11.7,999,99
1999,1,10,0,315,2.7  3.4,1.15,14.29,6.7,278,1022,12.1,11.7,999,99
1999,1,10,1,305,2.4  3.1,1.13,14.29,7.31,273,1021.2,11.7,11.4,999,99
1999,1,10,2,278,1.4  1.8,0.98,14.29,7.37,266,1021.3,11.3,11.4,999,99
1999,1,10,3,244,1.7  2.2,1.16,14.29,8.84,286,1021.3,11.3,11.4,999,99
1999,1,10,4,330,.9  1.3,1.17,14.29,9.38,276,1021.7,11.3,11.4,999,99
1999,1,10,5,299,2.6  3.3,1.28,14.29,9.76,277,1021.9,11.4,11.3,999,99
1999,1,10,6,350,.8  1.2,1.25,14.29,9.58,286,1022,11.7,11.3,999,99
1999,1,10,7,47,.5  1.3,1.26,16.67,9.39,277,1022.3,11.3,11.3,999,99
1999,1,10,8,56,1.3  1.8,1.35,14.29,9.89,279,1022.1,11.2,11.3,999,99
1999,1,10,9,56,1.8  2.4,1.54,16.67,11.05,290,1021.7,11.4,11.3,999,99
1999,1,10,10,78,3.7  4.6,1.57,16.67,11.56,287,1021.2,11.3,11.3,999,99
1999,1,10,11,85,4.7  6.4,1.62,16.67,8.46,276,1020.6,11.4,11.3,999,99
1999,1,10,12,75,5.7  6.8,1.62,16.67,7.74,281,1019.9,11.3,11.3,999,99
1999,1,10,13,63,6.4  7.5,1.58,16.67,7.32,283,1019.5,11.1,11.3,999,99
